ID_ergou,Titlos_ergou,Perilipsi_ergou,Poso_ergou,Hmerominia_enarksis_ergou,Hmerominia_liksis_ergou,Diarkeia_ergou,ID_stelehouss,ID_aksiologiti,ID_aksiologisi,ID_programma,ID_organismou
1,Titlos_ergou 1,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",274667,30-01-21,31-07-22,1,1,100,1,1,1
2,Titlos_ergou 2,In congue. Etiam justo. Etiam pretium iaculis justo.,647693,18-03-21,02-07-22,1,2,100,2,2,1
3,Titlos_ergou 3,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,219149,22-03-21,21-07-22,1,3,100,3,3,1
4,Titlos_ergou 4,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",150784,28-03-21,08-08-22,1,4,100,4,4,1
5,Titlos_ergou 5,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",209161,13-04-21,14-08-22,1,5,100,5,5,1
6,Titlos_ergou 6,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,799999,15-07-21,25-08-22,1,6,100,6,6,1
7,Titlos_ergou 7,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,921734,02-08-21,02-09-22,1,7,100,7,7,1
8,Titlos_ergou 8,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",407967,12-08-21,08-09-22,1,8,101,8,8,1
9,Titlos_ergou 9,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",330872,27-08-21,14-09-22,1,9,101,9,9,1
10,Titlos_ergou 10,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,978819,22-09-21,20-10-22,1,10,101,10,10,1
11,Titlos_ergou 11,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",157071,17-10-21,15-05-23,2,11,101,11,11,1
12,Titlos_ergou 12,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",658595,20-10-21,15-05-23,2,12,101,12,12,2
13,Titlos_ergou 13,Fusce consequat. Nulla nisl. Nunc nisl.,595239,25-10-21,25-05-23,2,13,101,13,13,2
14,Titlos_ergou 14,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",749807,28-10-21,12-06-23,2,14,101,14,14,2
15,Titlos_ergou 15,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",653032,31-10-21,03-07-23,2,15,101,15,15,2
16,Titlos_ergou 16,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,791123,15-11-21,25-08-23,2,16,102,16,16,2
17,Titlos_ergou 17,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",826636,16-11-21,28-08-23,2,17,102,17,17,2
18,Titlos_ergou 18,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",856913,24-11-21,03-09-23,2,18,102,18,18,2
19,Titlos_ergou 19,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",664555,01-12-21,05-09-23,2,19,102,19,19,2
20,Titlos_ergou 20,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",253564,10-07-21,02-11-23,2,20,102,20,20,2
21,Titlos_ergou 21,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,882343,15-07-21,13-07-24,3,21,102,21,21,2
22,Titlos_ergou 22,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",147848,16-07-21,14-07-24,3,22,103,22,22,2
23,Titlos_ergou 23,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",635814,18-07-21,17-07-24,3,23,104,23,23,2
24,Titlos_ergou 24,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",744644,22-07-21,18-07-24,3,24,104,24,24,3
25,Titlos_ergou 25,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",815250,25-07-21,19-07-24,3,25,104,25,25,4
26,Titlos_ergou 26,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",948902,28-07-21,20-07-24,3,1,104,26,26,5
27,Titlos_ergou 27,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,531908,30-07-21,22-07-24,3,2,104,27,27,6
28,Titlos_ergou 28,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",562711,31-07-21,26-07-24,3,3,105,28,28,7
29,Titlos_ergou 29,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",756656,14-01-22,01-08-24,2,4,105,29,29,8
30,Titlos_ergou 30,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",970064,17-01-22,16-01-25,3,5,105,30,30,9
31,Titlos_ergou 31,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",994219,18-01-22,23-01-25,3,6,105,31,31,10
32,Titlos_ergou 32,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,656200,19-01-22,31-01-25,3,7,105,32,32,11
33,Titlos_ergou 33,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",314843,26-01-22,08-02-25,3,8,105,33,33,12
34,Titlos_ergou 34,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,294086,29-01-22,17-02-25,3,9,105,34,34,13
35,Titlos_ergou 35,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",212739,02-02-22,18-02-25,3,10,105,35,35,14
36,Titlos_ergou 36,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",961263,03-02-22,23-02-25,3,11,105,36,1,15
37,Titlos_ergou 37,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",365207,04-02-22,05-03-25,3,12,105,37,2,16
38,Titlos_ergou 38,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",923180,07-02-22,07-03-25,3,13,106,38,3,17
39,Titlos_ergou 39,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",450212,13-04-22,15-03-25,3,14,106,39,4,18
40,Titlos_ergou 40,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",213808,15-04-22,30-03-25,3,15,106,40,5,19
41,Titlos_ergou 41,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",183535,18-04-22,31-03-25,3,16,106,41,6,20
42,Titlos_ergou 42,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",241986,19-04-22,12-04-25,3,17,106,42,7,21
43,Titlos_ergou 43,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",942151,24-04-22,26-04-25,3,18,106,43,8,22
44,Titlos_ergou 44,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",935268,27-04-22,12-01-26,4,19,106,44,9,23
45,Titlos_ergou 45,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",608995,17-03-22,22-01-26,4,20,106,45,10,24
46,Titlos_ergou 46,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,661376,19-03-22,15-02-26,4,21,106,46,11,25
47,Titlos_ergou 47,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",533781,22-03-22,20-02-26,4,22,106,47,12,26
48,Titlos_ergou 48,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",532602,27-03-22,01-03-26,4,23,106,48,13,27
49,Titlos_ergou 49,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",361100,05-04-22,10-03-26,4,24,107,49,14,28
50,Titlos_ergou 50,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",856447,01-12-17,19-02-20,3,25,107,50,15,29
51,Titlos_ergou 51,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",708812,08-09-18,01-04-19,1,1,107,51,16,30
52,Titlos_ergou 52,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",239839,20-10-18,08-09-19,1,2,107,52,17,31
53,Titlos_ergou 53,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",418035,18-02-18,21-11-20,2,3,107,53,18,32
54,Titlos_ergou 54,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",447561,04-02-18,08-06-20,2,4,107,54,19,33
55,Titlos_ergou 55,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",682551,09-07-18,27-08-19,1,5,107,55,20,34
56,Titlos_ergou 56,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",598746,26-09-17,12-10-19,2,6,107,56,21,35
57,Titlos_ergou 57,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",967171,13-09-16,16-05-20,4,7,107,57,22,36
58,Titlos_ergou 58,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",607219,15-07-17,20-03-21,4,8,107,58,23,37
59,Titlos_ergou 59,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",985052,21-11-17,12-12-21,4,9,107,59,24,38
60,Titlos_ergou 60,Phasellus in felis. Donec semper sapien a libero. Nam dui.,135316,28-02-15,22-05-19,4,10,107,60,25,39
